panId,iRms,created
0013A20040B09A44,1.65,2016-12-10T19:44:38.494Z
0013A20040B09A44,1.66,2016-12-10T19:44:50.408Z
0013A20040B09A44,1.66,2016-12-10T19:44:51.841Z
0013A20040B09A44,1.63,2016-12-10T19:44:58.896Z
0013A20040B09A44,1.66,2016-12-10T19:45:09.178Z
0013A20040B09A44,1.67,2016-12-10T19:45:19.463Z
0013A20040B09A44,1.65,2016-12-10T19:45:29.750Z
0013A20040B09A44,1.66,2016-12-10T19:45:40.037Z
0013A20040B09A44,1.65,2016-12-10T19:45:50.321Z
0013A20040B09A44,1.66,2016-12-10T19:46:00.605Z
0013A20040B09A44,1.66,2016-12-10T19:46:10.889Z
0013A20040B09A44,1.65,2016-12-10T19:46:21.170Z
0013A20040B09A44,1.66,2016-12-10T19:46:31.453Z
0013A20040B09A44,1.67,2016-12-10T19:46:41.741Z
0013A20040B09A44,1.65,2016-12-10T19:46:52.022Z
0013A20040B09A44,1.66,2016-12-10T19:47:02.309Z
0013A20040B09A44,1.65,2016-12-10T19:47:12.597Z
0013A20040B09A44,1.64,2016-12-10T19:47:24.445Z
0013A20040B09A44,1.66,2016-12-10T19:47:45.013Z
0013A20040B09A44,1.66,2016-12-10T19:47:54.247Z
0013A20040B09A44,1.66,2016-12-10T19:48:04.151Z
0013A20040B09A44,1.65,2016-12-10T19:48:14.290Z
0013A20040B09A44,1.65,2016-12-10T19:48:26.149Z
0013A20040B09A44,1.65,2016-12-10T19:48:34.969Z
0013A20040B09A44,1.66,2016-12-10T19:48:45.141Z
0013A20040B09A44,1.67,2016-12-10T19:48:56.993Z
0013A20040B09A44,1.67,2016-12-10T19:49:07.279Z
0013A20040B09A44,1.65,2016-12-10T19:49:17.566Z
0013A20040B09A44,1.66,2016-12-10T19:49:27.854Z
0013A20040B09A44,1.67,2016-12-10T19:49:38.132Z
0013A20040B09A44,1.66,2016-12-10T19:49:48.417Z
0013A20040B09A44,1.67,2016-12-10T19:49:58.708Z
0013A20040B09A44,1.66,2016-12-10T19:50:10.565Z
0013A20040B09A44,1.66,2016-12-10T19:50:19.269Z
0013A20040B09A44,1.65,2016-12-10T19:50:29.556Z
0013A20040B09A44,1.66,2016-12-10T19:50:39.834Z
0013A20040B09A44,1.65,2016-12-10T19:50:50.123Z
0013A20040B09A44,1.66,2016-12-10T19:51:00.404Z
0013A20040B09A44,1.65,2016-12-10T19:51:10.690Z
0013A20040B09A44,1.64,2016-12-10T19:51:20.975Z
0013A20040B09A44,1.65,2016-12-10T19:51:31.261Z
0013A20040B09A44,1.67,2016-12-10T19:51:41.541Z
0013A20040B09A44,1.67,2016-12-10T19:51:51.826Z
0013A20040B09A44,1.66,2016-12-10T19:52:02.109Z
0013A20040B09A44,1.66,2016-12-10T19:52:12.392Z
0013A20040B09A44,1.65,2016-12-10T19:52:22.679Z
0013A20040B09A44,1.64,2016-12-10T19:52:32.979Z
0013A20040B09A44,1.66,2016-12-10T19:52:43.344Z
0013A20040B09A44,1.66,2016-12-10T19:52:53.531Z
0013A20040B09A44,1.66,2016-12-10T19:53:03.815Z
0013A20040B09A44,1.65,2016-12-10T19:53:12.639Z
0013A20040B09A44,1.65,2016-12-10T19:53:22.818Z
0013A20040B09A44,1.66,2016-12-10T19:53:33.285Z
0013A20040B09A44,1.65,2016-12-10T19:53:43.385Z
0013A20040B09A44,1.66,2016-12-10T19:53:53.669Z
0013A20040B09A44,1.66,2016-12-10T19:54:03.954Z
0013A20040B09A44,1.66,2016-12-10T19:54:14.236Z
0013A20040B09A44,1.66,2016-12-10T19:54:24.520Z
0013A20040B09A44,1.66,2016-12-10T19:54:34.809Z
0013A20040B09A44,1.65,2016-12-10T19:54:45.088Z
0013A20040B09A44,1.65,2016-12-10T19:54:55.377Z
0013A20040B09A44,1.66,2016-12-10T19:55:05.659Z
0013A20040B09A44,1.66,2016-12-10T19:55:15.941Z
0013A20040B09A44,0.12,2016-12-10T19:55:26.237Z
0013A20040B09A44,0.05,2016-12-10T19:55:36.531Z
0013A20040B09A44,1.66,2016-12-10T19:55:46.837Z
0013A20040B09A44,1.65,2016-12-10T19:55:57.100Z
0013A20040B09A44,0.08,2016-12-10T19:56:07.394Z
0013A20040B09A44,0.05,2016-12-10T19:56:17.696Z
0013A20040B09A44,0.05,2016-12-10T19:56:28.001Z
0013A20040B09A44,0.05,2016-12-10T19:56:38.297Z
0013A20040B09A44,0.05,2016-12-10T19:56:48.593Z
0013A20040B09A44,0.05,2016-12-10T19:56:58.897Z
0013A20040B09A44,0.05,2016-12-10T19:57:09.196Z
0013A20040B09A44,0.05,2016-12-10T19:57:19.496Z
0013A20040B09A44,0.05,2016-12-10T19:57:29.797Z
0013A20040B09A44,0.04,2016-12-10T19:57:40.097Z
0013A20040B09A44,0.05,2016-12-10T19:57:50.399Z
0013A20040B09A44,0.05,2016-12-10T19:58:00.703Z
0013A20040B09A44,0.05,2016-12-10T19:58:10.999Z
0013A20040B09A44,0.05,2016-12-10T19:58:21.298Z
